agent_number,season,precipitation,period_start,period_end,lat,lon,site,anomaly,reference_period
1056,Annual,1631.5,1/01/2017,31/12/2017,-35.183,173.926,Kerikeri,2.08,1961-1990
1287,Annual,1373,1/01/2017,31/12/2017,-35.769,174.364,Whangarei,-104.9366667,1961-1990
1400,Annual,1424.2,1/01/2017,31/12/2017,-36.606,174.835,Whangaparaoa,308.2733333,1961-1990
15752,Annual,784,1/01/2017,31/12/2017,-45.90129,170.5147,Dunedin,97.03333333,1961-1990
1615,Annual,1686.6,1/01/2017,31/12/2017,-37.673,176.196,Tauranga,368.8166667,1961-1990
1770,Annual,2010,1/01/2017,31/12/2017,-38.10595,176.31485,Rotorua,567.0566667,1961-1990
1858,Annual,1342.8,1/01/2017,31/12/2017,-38.74263,176.08104,Taupo,407.4733333,1961-1990
1962,Annual,1188.4,1/01/2017,31/12/2017,-37.00813,174.78873,Auckland,58.52,1961-1990
2112,Annual,1598.2,1/01/2017,31/12/2017,-37.86088,175.33175,Hamilton,378.96,1961-1990
2250,Annual,1659.4,1/01/2017,31/12/2017,-38.88784,175.25981,Taumarunui,389.2466667,1961-1990
2283,Annual,1298,1/01/2017,31/12/2017,-39.0079,174.18382,New Plymouth,-200.2733333,1961-1990
2534,Annual,1084.2,1/01/2017,31/12/2017,-40.21,176.109,Dannevirke,54.65333333,1961-1990
25354,Annual,1348.8,1/01/2017,31/12/2017,-41.285,174.768,Wellington,8.67,1961-1990
2810,Annual,1179.2,1/01/2017,31/12/2017,-38.6586,177.9851,Gisborne,157.5933333,1961-1990
2997,Annual,826,1/01/2017,31/12/2017,-39.49846,176.91189,Napier,71.24,1961-1990
3629,Annual,1191.2,1/01/2017,31/12/2017,-39.46249,175.66283,Waiouru,157.7733333,1961-1990
3715,Annual,928,1/01/2017,31/12/2017,-39.93704,175.04509,Whanganui,68.88,1961-1990
37662,Annual,858.4,1/01/2017,31/12/2017,-40.957,175.707,Masterton,9.243333333,1961-1990
3909,Annual,2777.6,1/01/2017,31/12/2017,-42.71228,170.98428,Hokitika,-46.72,1961-1990
3925,Annual,1712,1/01/2017,31/12/2017,-42.11578,171.86014,Reefton,-275.7033333,1961-1990
4107,Annual,5731.4,1/01/2017,31/12/2017,-44.67384,167.92406,Milford Sound,-771.16,1961-1990
4241,Annual,1018.8,1/01/2017,31/12/2017,-41.299,173.226,Nelson,24.51666667,1961-1990
4326,Annual,640.6,1/01/2017,31/12/2017,-41.52133,173.86439,Blenheim,-54.00333333,1961-1990
4843,Annual,803.6,1/01/2017,31/12/2017,-43.493,172.537,Christchurch,187.79,1961-1990
4970,Annual,597.3,1/01/2017,31/12/2017,-44.002,170.441,Lake Tekapo,-0.53,1961-1990
5086,Annual,571.8,1/01/2017,31/12/2017,-44.30517,171.22141,Timaru,42.08,1961-1990
5212,Annual,579.2,1/01/2017,31/12/2017,-44.52612,169.88948,Tara Hills,28.57666667,1961-1990
5451,Annual,561.4,1/01/2017,31/12/2017,-45.01758,168.74005,Queenstown,-111.7066667,1961-1990
5778,Annual,837.3,1/01/2017,31/12/2017,-46.115,168.887,Gore,-64.91666667,1961-1990
5814,Annual,781.2,1/01/2017,31/12/2017,-46.41741,168.33052,Invercargill,-300.3633333,1961-1990
1056,Autumn,691.6,1/03/2017,31/05/2017,-35.183,173.926,Kerikeri,292.9933333,1961-1990
1287,Autumn,545,1/03/2017,31/05/2017,-35.769,174.364,Whangarei,172.5833333,1961-1990
1400,Autumn,791.2,1/03/2017,31/05/2017,-36.606,174.835,Whangaparaoa,525.1433333,1961-1990
15752,Autumn,223.4,1/03/2017,31/05/2017,-45.90129,170.5147,Dunedin,37.17333333,1961-1990
1615,Autumn,722.4,1/03/2017,31/05/2017,-37.673,176.196,Tauranga,376.62,1961-1990
1770,Autumn,953.8,1/03/2017,31/05/2017,-38.10595,176.31485,Rotorua,610.9966667,1961-1990
1858,Autumn,511.8,1/03/2017,31/05/2017,-38.74263,176.08104,Taupo,301.7533333,1961-1990
1962,Autumn,546.6,1/03/2017,31/05/2017,-37.00813,174.78873,Auckland,271.9533333,1961-1990
2112,Autumn,606.3,1/03/2017,31/05/2017,-37.86088,175.33175,Hamilton,327.42,1961-1990
2250,Autumn,562.2,1/03/2017,31/05/2017,-38.88784,175.25981,Taumarunui,281.4233333,1961-1990
2283,Autumn,406,1/03/2017,31/05/2017,-39.0079,174.18382,New Plymouth,33.59,1961-1990
2534,Autumn,397.2,1/03/2017,31/05/2017,-40.21,176.109,Dannevirke,137.9833333,1961-1990
25354,Autumn,458,1/03/2017,31/05/2017,-41.285,174.768,Wellington,115.6166667,1961-1990
2810,Autumn,542.6,1/03/2017,31/05/2017,-38.6586,177.9851,Gisborne,276.35,1961-1990
2997,Autumn,364.2,1/03/2017,31/05/2017,-39.49846,176.91189,Napier,160.02,1961-1990
3629,Autumn,405,1/03/2017,31/05/2017,-39.46249,175.66283,Waiouru,160.4533333,1961-1990
3715,Autumn,350,1/03/2017,31/05/2017,-39.93704,175.04509,Whanganui,138.9933333,1961-1990
37662,Autumn,328.6,1/03/2017,31/05/2017,-40.957,175.707,Masterton,110.9233333,1961-1990
3909,Autumn,668.1,1/03/2017,31/05/2017,-42.71228,170.98428,Hokitika,-33.73666667,1961-1990
3925,Autumn,459.8,1/03/2017,31/05/2017,-42.11578,171.86014,Reefton,-19.37,1961-1990
4107,Autumn,705.6,1/03/2017,31/05/2017,-44.67384,167.92406,Milford Sound,-1083.426667,1961-1990
4241,Autumn,404.7,1/03/2017,31/05/2017,-41.299,173.226,Nelson,136.6433333,1961-1990
4326,Autumn,256.2,1/03/2017,31/05/2017,-41.52133,173.86439,Blenheim,72.29,1961-1990
4843,Autumn,278.4,1/03/2017,31/05/2017,-43.493,172.537,Christchurch,110.2166667,1961-1990
4970,Autumn,181.7,1/03/2017,31/05/2017,-44.002,170.441,Lake Tekapo,30.21666667,1961-1990
5086,Autumn,195.4,1/03/2017,31/05/2017,-44.30517,171.22141,Timaru,47.79,1961-1990
5212,Autumn,168.6,1/03/2017,31/05/2017,-44.52612,169.88948,Tara Hills,21.90333333,1961-1990
5451,Autumn,122,1/03/2017,31/05/2017,-45.01758,168.74005,Queenstown,-65.09333333,1961-1990
5778,Autumn,212,1/03/2017,31/05/2017,-46.115,168.887,Gore,-40.04333333,1961-1990
