,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
0,World,413860450,1481297.0,5845114,7852.0,335755751,2774427.0,72259585,85000,53094.0,749.9,-1,-1,-1,All,0.35792185506008123,0.13433442016699762,0.826323001687021
1,USA,79520665,80842.0,946552,1046.0,50208417,329518.0,28365696,15032,237981.0,2833.0,930670249,2785216,334146517,North America,0.10166162468585997,0.11050634302183081,0.6563003171360691
2,India,42692943,27409.0,509388,345.0,41760458,82817.0,423097,8944,30452.0,363.0,751803766,536246,1401976446,Asia,0.06420030589130386,0.0677283328229169,0.1983143958813862
3,Brazil,27541131,58100.0,638913,464.0,23969577,186134.0,2932641,8318,128094.0,2972.0,63776166,296624,215006645,South America,0.21095720433558085,0.07262334621458634,0.7765426982712295
4,France,21735302,26475.0,135189,385.0,17167744,501528.0,4432369,3371,331799.0,2064.0,240847561,3676642,65507481,Europe,0.12180645109048864,0.2847864841074348,2.9213389948032775
5,UK,18347765,41560.0,159605,35.0,16142529,112804.0,2045631,416,267993.0,2331.0,471036328,6880096,68463627,Europe,0.226512602488641,0.02192913755834717,0.6988000455195094
6,Russia,14313965,180456.0,340931,683.0,11333044,97185.0,2639990,2300,98017.0,2335.0,268600000,1839275,146035832,Europe,1.2606989048806532,0.20033379188164174,0.8575365982872739
7,Turkey,12984953,76632.0,90808,266.0,12060306,74936.0,833839,1128,151324.0,1058.0,137529577,1602746,85808690,Asia,0.5901600105907199,0.2929257334155581,0.6213441018826554
8,Germany,12514527,127449.0,120710,130.0,8838800,101800.0,3555017,2274,148597.0,1433.0,89622218,1064171,84217904,Europe,1.0184084464398855,0.10769613122359374,1.1517400552111146
9,Italy,12134622,28801.0,151296,281.0,10392540,76553.0,1590786,1173,201178.0,2508.0,180982449,3000482,60317799,Europe,0.23734567092407163,0.18572863790186125,0.7366149180084945
10,Spain,10672906,22902.0,96596,201.0,7833932,158960.0,2742378,416,228131.0,2065.0,471036328,10068296,46784115,Europe,0.21458073368209185,0.20808315044101205,2.029121519053267
11,Argentina,8747601,13050.0,124349,268.0,8461793,29910.0,161459,2001,190715.0,2711.0,33532432,731073,45867424,South America,0.14918375906720027,0.2155224408720617,0.3534711851258947
12,Iran,6835221,28956.0,133886,168.0,6327200,28473.0,374135,3410,79726.0,1562.0,46144867,538235,85733678,Asia,0.4236293164478515,0.12547988587305617,0.45000948286761916
13,Colombia,6023257,3162.0,137301,186.0,5839835,7024.0,46121,342,116366.0,2653.0,32758328,632875,51761146,South America,0.05249651475937354,0.13546878755435138,0.12027737085037506
14,Netherlands,5789483,55011.0,21402,6.0,3511372,31846.0,2256709,176,336671.0,1245.0,21107399,1227439,17196288,Europe,0.9501884710603693,0.02803476310625175,0.9069389401066021
15,Poland,5415762,13473.0,108137,17.0,4659874,48114.0,647751,1137,143352.0,2862.0,32402167,857666,37779461,Europe,0.24877385675367564,0.015720798616569723,1.0325171882329864
16,Mexico,5292706,8854.0,312819,122.0,4519024,19949.0,460863,4798,40363.0,2386.0,14662007,111816,131126411,North America,0.16728682832562397,0.039000188607469496,0.44144487836311563
17,Indonesia,4844279,36501.0,145321,145.0,4323101,13338.0,375857,1609,17412.0,522.0,77923281,280091,278207416,Asia,0.7534867417834522,0.09977910969508881,0.30852853079305803
18,Ukraine,4542693,16993.0,102950,142.0,3788395,9338.0,651348,177,104892.0,2377.0,19060801,440121,43308107,Europe,0.3740732644710968,0.13793103448275862,0.24648960839616776
19,Japan,3912198,80234.0,20359,157.0,3010467,91153.0,881372,1393,31086.0,162.0,36298337,288427,125849223,Asia,2.050867568563759,0.7711577189449383,3.027869098050236
20,South Africa,3642905,1094.0,97250,257.0,3508249,5930.0,37406,546,60194.0,1607.0,22693253,374974,60519472,Africa,0.030030978024406345,0.26426735218508995,0.16903019141457748
21,Philippines,3639930,2718.0,55146,216.0,3508196,7413.0,76588,312,32516.0,493.0,27792157,248272,111942571,Asia,0.07467176566582324,0.39168752040039173,0.21130518363284148
22,Israel,3451533,25430.0,9624,80.0,3226276,94522.0,215633,971,370098.0,1032.0,41373364,4436346,9326000,Asia,0.7367740653211197,0.8312551953449709,2.929755544782901
23,Peru,3449712,4032.0,208466,85.0,0,0.0,0,1288,102318.0,6183.0,26556891,787676,33715493,South America,0.11687932209993182,0.040774035094451856,
24,Belgium,3440228,7686.0,29694,35.0,2349429,31889.0,1061105,403,294759.0,2544.0,31034093,2659004,11671324,Europe,0.22341542479161264,0.11786892975011788,1.357308520495831
25,Czechia,3403522,7193.0,37919,49.0,3159628,33896.0,205975,239,316867.0,3530.0,51749535,4817870,10741164,Europe,0.21133990025626395,0.12922281705741184,1.0727845176710675
26,Canada,3204250,5911.0,35580,104.0,3031298,26808.0,137372,912,83710.0,930.0,57357225,1498435,38278083,North America,0.18447374580635093,0.2922990444069702,0.8843736247640449
27,Portugal,3093723,8463.0,20565,35.0,2524291,29289.0,548867,148,304844.0,2026.0,33409187,3292018,10148544,Europe,0.2735539025310282,0.17019207391198637,1.160286195212834
